learning_rate,forgetting_rate,avg_weight,std_weight,avg_firing_count,std_firing_count,avg_avalanche_size,std_avalanche_size,avg_avalanche_duration,std_avalanche_duration,n_avalanches
0.01,0.010915732104992991,0.067678,0.000954,0.3595,0.7105,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05605844412769029,0.044732,0.000489,0.2107,0.5199,0.0000,0.0000,0.0000,0.0000,0
0.01,0.053870219726678145,0.044817,0.000454,0.1968,0.4920,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03438765089453792,0.051085,0.000529,0.2510,0.5844,0.0000,0.0000,0.0000,0.0000,0
0.01,0.040893210723806236,0.048684,0.000441,0.2067,0.5128,0.0000,0.0000,0.0000,0.0000,0
0.01,0.060103416928906125,0.043257,0.000431,0.1905,0.4906,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08906461089717943,0.040545,0.000323,0.1485,0.3981,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02451514933082222,0.055140,0.000565,0.2597,0.5965,0.0000,0.0000,0.0000,0.0000,0
0.01,0.018225715305072727,0.060040,0.000706,0.3028,0.6474,0.0000,0.0000,0.0000,0.0000,0
0.01,0.020923131206508034,0.057880,0.000655,0.2843,0.6196,0.0000,0.0000,0.0000,0.0000,0
0.01,0.009694151605033506,0.909458,0.132384,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0405008631357378,0.048812,0.000483,0.2225,0.5310,0.0000,0.0000,0.0000,0.0000,0
0.01,0.019637721221621135,0.058685,0.000640,0.2802,0.6239,0.0000,0.0000,0.0000,0.0000,0
0.01,0.051326327765882175,0.045821,0.000503,0.2288,0.5558,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09757928089289887,0.042464,0.000396,0.1785,0.4628,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06220502059053256,0.043503,0.000417,0.1855,0.4961,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04664594009269623,0.046788,0.000489,0.2198,0.5258,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09285295454710259,0.041065,0.000385,0.1767,0.4348,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05104612546810696,0.045964,0.000512,0.2345,0.5679,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03046800432350863,0.052048,0.000519,0.2385,0.5528,0.0000,0.0000,0.0000,0.0000,0
0.01,0.012223918968920269,0.065917,0.000911,0.3535,0.7093,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03754255604790561,0.049534,0.000488,0.2275,0.5350,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07704985631828272,0.043336,0.000386,0.1923,0.4799,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09982614535981894,0.041647,0.000354,0.1825,0.4660,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09250916580897153,0.041147,0.000355,0.1670,0.4256,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05511993675663376,0.044849,0.000429,0.1822,0.4904,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0010236664978711426,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08400536048964224,0.041822,0.000388,0.1875,0.4470,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0446199555159532,0.047721,0.000468,0.2200,0.5519,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0852576569210882,0.040906,0.000389,0.1835,0.4425,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0141029027910492,0.063627,0.000848,0.3330,0.6849,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08011373310870085,0.042959,0.000394,0.1870,0.4539,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05555009245607201,0.045155,0.000488,0.2132,0.5256,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08826878240444332,0.040398,0.000329,0.1585,0.4170,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06362075581356832,0.043814,0.000450,0.2045,0.4931,0.0000,0.0000,0.0000,0.0000,0
0.01,0.027769625349306215,0.053392,0.000554,0.2590,0.5907,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04495931613684499,0.048174,0.000471,0.2273,0.5386,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08212684201311303,0.042980,0.000422,0.1988,0.4607,0.0000,0.0000,0.0000,0.0000,0
0.01,0.028715239803786943,0.052778,0.000525,0.2410,0.5540,0.0000,0.0000,0.0000,0.0000,0
0.01,0.024405719102458614,0.055453,0.000578,0.2665,0.6054,0.0000,0.0000,0.0000,0.0000,0
0.01,0.00627371097806473,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0325693070492703,0.051615,0.000470,0.2323,0.5425,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05564545423598589,0.044949,0.000483,0.2115,0.5232,0.0000,0.0000,0.0000,0.0000,0
0.01,0.013604781808841598,0.064297,0.000875,0.3412,0.6920,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09281596761961851,0.041101,0.000385,0.1767,0.4348,0.0000,0.0000,0.0000,0.0000,0
0.01,0.031011003737659526,0.052180,0.000489,0.2425,0.5565,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05997870740284462,0.043383,0.000433,0.1920,0.4921,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09058914627920836,0.040782,0.000328,0.1517,0.4028,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0586413626773904,0.043888,0.000448,0.1995,0.5081,0.0000,0.0000,0.0000,0.0000,0
0.01,0.018405024775912097,0.059898,0.000711,0.3053,0.6474,0.0000,0.0000,0.0000,0.0000,0
0.01,0.023639271619731513,0.055703,0.000614,0.2697,0.6029,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07237747797826577,0.041870,0.000325,0.1598,0.4192,0.0000,0.0000,0.0000,0.0000,0
0.01,0.006331781470779517,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03392718804091976,0.050939,0.000487,0.2230,0.5327,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08097369734667667,0.043291,0.000446,0.1973,0.4657,0.0000,0.0000,0.0000,0.0000,0
